Name,Address,Price,Apartment Units,Distance,Info,Rating,Tags
The Lorenzo,"325 W. Adams Blvd, Los Angeles, California(CA) 90007",935,"[{bedroom: 3, price: 935}, {bedroom: 2, price: 1,025}, {bedroom: 1, price: 1,455}]",1.23km,"{walking: 22, cycling: 6, transit: 13, driving: 7}",4.2(155),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'Collect parcels on behalf of others' ', 'Available for short-term rental', 'With gym', 'Free shuttle pick-up']"
University Gateway,"3335 South Figueroa St, Los Angeles, California(CA) 90007","1,135","[{bedroom: 2, price: 1,135}, {bedroom: 1, price: 2,055}]",0.49km,"{walking: 10, cycling: 3, transit: 10, driving: 5}",4.4(38),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', 'With sublet', '0 service fee', 'With elevator ', 'With gym', '24-hour security', 'Package collection', 'Application open for fall 2024']"
Ensemble at Northridge,"9530 Reseda Blvd, Los Angeles, California(CA) 91325",995,"[{bedroom: 2, price: 995}, {bedroom: Studio, price: 1,125}, {bedroom: 4, price: 1,399}, {bedroom: 1, price: 3,000}]",33.76km,"{walking: 627, cycling: 163, transit: 123, driving: 44}",,"['With window view', 'Free service charge', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With furniture', 'With indoor laundry 'Baking', 'Walking to campus', 'With gym', 'Application open for fall 2024', 'With balcony', 'Pets allowed']"
Element,"2595 South Hoover Street, Los Angeles, California(CA) 90007","1,065","[{bedroom: Shared, price: 1,015}, {bedroom: 3, price: 1,065}, {bedroom: Single, price: 1,950}]",1.09km,"{walking: 18, cycling: 5, transit: 11, driving: 5}",,"['With window view', 'Free service charge', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', 'With elevator', 'Package collection', 'With furniture' , 'With gym']"
Rise Koreatown,"750 S Oxford Ave, Los Angeles, California(CA) 90005","2,320","[{bedroom: Studio, price: 2,170}, {bedroom: 1, price: 2,545}]",4.51km,"{walking: 75, cycling: 24, transit: 57, driving: 16}",,"['With window view', 'Free service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'Collect package']"
Tuscany,"3770 S Figueroa St, Los Angeles, California(CA) 90007","2,422","[{bedroom: Single, price: 2,422}, {bedroom: 1, price: 3,786}]",0.65km,"{walking: 12, cycling: 4, transit: 9, driving: 7}",,"['With window view', 'Free service charge', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With indoor washing and drying', 'With Elevator', 'With gym', 'With furniture', '24-hour security', 'Application open for fall 2024']"
Hub LA Coliseum,"3800 S Figueroa St, Los Angeles, California(CA) 90037","1,250","[{bedroom: Single, price: 1,250}, {bedroom: Shared, price: 1,745}]",0.8km,"{walking: 14, cycling: 4, transit: 8, driving: 8}",,"['With window view', 'Free service charge', 'VR house viewing', 'With floor plan', '0 deposit', '0 gift money', 'Open for 2024 autumn application']"
Hub LA Figueroa,"South Figueroa Street, Los Angeles, California(CA) 90007","1,460","[{bedroom: 5, price: 1,460}, {bedroom: 2, price: 1,725}, {bedroom: 4, price: 1,810}, {bedroom: Studio, price: 3,315}]",0.91km,"{walking: 17, cycling: 4, transit: 14, driving: 6}",,"['With window view', 'Free service charge', 'VR house viewing', 'With floor plan', '0 deposit', '0 gift money']"
Circa,"1200 South Figueroa Street, Los Angeles, California(CA) 90015","2,497","[{bedroom: 1, price: 2,497}, {bedroom: 2, price: 4,891}, {bedroom: 3, price: 15,129}]",2.73km,"{walking: 42, cycling: 12, transit: 20, driving: 12}",,"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'Collect parcels on behalf of others' ', 'With gym', 'Brand new apartment']"
The Pearl on Wilshire Apartments,"687 S. Hobart Blvd, Los Angeles, California(CA) 90005","2,103","[{bedroom: Studio, price: 2,103}, {bedroom: 1, price: 2,500}, {bedroom: 2, price: 3,142}]",4.72km,"{walking: 76, cycling: 24, transit: 44, driving: 17}",,"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'Collect parcels on behalf of others' ', 'With gym', 'Pets allowed', 'Brand new apartment']"
